size,run,time
10,1,1.3754e-05
10,2,1.1091e-05
10,3,1.063e-05
10,4,8.594e-06
10,5,9.946e-06
10,6,1.0795e-05
10,7,8.704e-06
10,8,1.1331e-05
10,9,1.019e-05
10,10,1.0612e-05
20,1,5.731e-06
20,2,4.756e-06
20,3,4.693e-06
20,4,5.206e-06
20,5,5.351e-06
20,6,5.917e-06
20,7,5.153e-06
20,8,5.384e-06
20,9,5.325e-06
20,10,5.397e-06
30,1,9.466e-06
30,2,1.1601e-05
30,3,1.0767e-05
30,4,1.1121e-05
30,5,1.88e-05
30,6,1.1025e-05
30,7,1.0088e-05
30,8,1.0382e-05
30,9,1.0386e-05
30,10,1.0432e-05
40,1,4.375e-06
40,2,4.958e-06
40,3,4.711e-06
40,4,4.612e-06
40,5,4.374e-06
40,6,4.522e-06
40,7,5.106e-06
40,8,4.832e-06
40,9,4.573e-06
40,10,4.927e-06
50,1,9.111e-06
50,2,1.1345e-05
50,3,1.0451e-05
50,4,9.949e-06
50,5,1.0835e-05
50,6,8.57e-06
50,7,1.0344e-05
50,8,1.016e-05
50,9,1.008e-05
50,10,1.0388e-05
60,1,5.203e-06
60,2,2.9351e-05
60,3,5.089e-06
60,4,5.314e-06
60,5,5.839e-06
60,6,5.565e-06
60,7,5.745e-06
60,8,5.495e-06
60,9,5.478e-06
60,10,5.39e-06
70,1,1.1797e-05
70,2,1.1969e-05
70,3,1.128e-05
70,4,1.0762e-05
70,5,1.1021e-05
70,6,1.0656e-05
70,7,1.1366e-05
70,8,1.1626e-05
70,9,1.16e-05
70,10,1.2648e-05
80,1,4.587e-06
80,2,4.512e-06
80,3,5.644e-06
80,4,5.842e-06
80,5,5.797e-06
80,6,4.504e-06
80,7,4.609e-06
80,8,4.828e-06
80,9,4.548e-06
80,10,4.932e-06
90,1,9.488e-06
90,2,1.2347e-05
90,3,1.038e-05
90,4,1.1043e-05
90,5,1.1728e-05
90,6,1.1488e-05
90,7,1.0857e-05
90,8,1.0332e-05
90,9,9.971e-06
90,10,1.086e-05
100,1,4.985e-06
100,2,5.16e-06
100,3,7.416e-06
100,4,5.491e-06
100,5,5.111e-06
100,6,5.1e-06
100,7,6.95e-06
100,8,5.37e-06
100,9,7.019e-06
100,10,6.918e-06
120,1,6.977e-06
120,2,6.383e-06
120,3,5.224e-06
120,4,6.558e-06
120,5,6.863e-06
120,6,4.907e-06
120,7,4.873e-06
120,8,6.239e-06
120,9,5.224e-06
120,10,6.214e-06
140,1,7.234e-06
140,2,7.347e-06
140,3,5.213e-06
140,4,7.796e-06
140,5,3.1684e-05
140,6,7.206e-06
140,7,5.898e-06
140,8,7.492e-06
140,9,6.669e-06
140,10,7.432e-06
160,1,6.822e-06
160,2,6.688e-06
160,3,5.438e-06
160,4,5.056e-06
160,5,6.805e-06
160,6,6.759e-06
160,7,5.297e-06
160,8,6.944e-06
160,9,6.683e-06
160,10,5.972e-06
180,1,6.806e-06
180,2,7.543e-06
180,3,7.799e-06
180,4,7.633e-06
180,5,7.463e-06
180,6,7.464e-06
180,7,6.605e-06
180,8,7.498e-06
180,9,8.198e-06
180,10,6.122e-06
200,1,7.063e-06
200,2,5.888e-06
200,3,7.147e-06
200,4,6.96e-06
200,5,6.554e-06
200,6,6.311e-06
200,7,7.16e-06
200,8,7.033e-06
200,9,6.921e-06
200,10,5.68e-06
