size,run,time
10,1,3.78e-07
10,2,7.88e-07
10,3,3.94e-07
10,4,4.1e-07
10,5,4.28e-07
10,6,4.04e-07
10,7,3.59e-07
10,8,3.88e-07
10,9,3.79e-07
10,10,3.88e-07
20,1,4.2e-07
20,2,3.72e-07
20,3,4.68e-07
20,4,4.02e-07
20,5,4.05e-07
20,6,4.05e-07
20,7,4.53e-07
20,8,3.91e-07
20,9,4.09e-07
20,10,4.02e-07
30,1,4.46e-07
30,2,4.43e-07
30,3,4.52e-07
30,4,4.61e-07
30,5,4.58e-07
30,6,4.16e-07
30,7,4.29e-07
30,8,4.6e-07
30,9,5.49e-07
30,10,4.44e-07
40,1,6.08e-07
40,2,5.42e-07
40,3,5.36e-07
40,4,5.63e-07
40,5,5.27e-07
40,6,5.03e-07
40,7,5.35e-07
40,8,5.61e-07
40,9,5.14e-07
40,10,5.11e-07
50,1,5.77e-07
50,2,5.79e-07
50,3,5.43e-07
50,4,5.47e-07
50,5,5.85e-07
50,6,5.29e-07
50,7,6.47e-07
50,8,5.65e-07
50,9,6.68e-07
50,10,7.11e-07
60,1,6.46e-07
60,2,5.66e-07
60,3,6.52e-07
60,4,6.55e-07
60,5,6.48e-07
60,6,6.47e-07
60,7,6.17e-07
60,8,5.81e-07
60,9,6.42e-07
60,10,5.72e-07
70,1,6.21e-07
70,2,6.36e-07
70,3,6.67e-07
70,4,6.74e-07
70,5,6.3e-07
70,6,6.43e-07
70,7,6.25e-07
70,8,6.65e-07
70,9,6.3e-07
70,10,6.23e-07
80,1,7.5e-07
80,2,7.42e-07
80,3,7.17e-07
80,4,7.11e-07
80,5,7.45e-07
80,6,6.92e-07
80,7,7.75e-07
80,8,7.11e-07
80,9,7.38e-07
80,10,7.19e-07
90,1,8.4e-07
90,2,7.39e-07
90,3,8.58e-07
90,4,8.58e-07
90,5,7.64e-07
90,6,8.1e-07
90,7,7.55e-07
90,8,8.43e-07
90,9,8.06e-07
90,10,7.45e-07
100,1,8.74e-07
100,2,8.72e-07
100,3,7.49e-07
100,4,7.96e-07
100,5,8e-07
100,6,8.01e-07
100,7,8.27e-07
100,8,8.06e-07
100,9,7.94e-07
100,10,7.61e-07
120,1,8.88e-07
120,2,9.04e-07
120,3,9.35e-07
120,4,8.79e-07
120,5,9.08e-07
120,6,8.89e-07
120,7,8.87e-07
120,8,8.9e-07
120,9,9.84e-07
120,10,9.61e-07
140,1,9.81e-07
140,2,9.65e-07
140,3,1.007e-06
140,4,9.93e-07
140,5,9.56e-07
140,6,9.85e-07
140,7,9.54e-07
140,8,9.58e-07
140,9,9.6e-07
140,10,9.56e-07
160,1,1.067e-06
160,2,1.108e-06
160,3,1.083e-06
160,4,1.046e-06
160,5,1.103e-06
160,6,1.143e-06
160,7,1.077e-06
160,8,1.07e-06
160,9,1.08e-06
160,10,1.188e-06
180,1,1.166e-06
180,2,1.226e-06
180,3,1.135e-06
180,4,1.156e-06
180,5,1.273e-06
180,6,1.255e-06
180,7,1.444e-06
180,8,1.216e-06
180,9,1.192e-06
180,10,1.18e-06
200,1,1.403e-06
200,2,1.379e-06
200,3,1.375e-06
200,4,1.248e-06
200,5,1.286e-06
200,6,1.232e-06
200,7,1.276e-06
200,8,1.263e-06
200,9,1.256e-06
200,10,1.313e-06
