size,run,time
10003,1,4.8464e-05
10003,2,4.6096e-05
10003,3,4.7442e-05
10003,4,6.0624e-05
10003,5,6.9786e-05
10003,1,5.5182e-05
10003,2,4.9131e-05
10003,3,6.2362e-05
10003,4,4.8069e-05
10003,5,4.5378e-05
100003,1,0.000370222
100003,2,0.000387566
100003,3,0.000357659
100003,4,0.000397136
100003,5,0.000422517
1000001,1,0.00375644
1000001,2,0.00368582
1000001,3,0.00374752
1000001,4,0.00375433
1000001,5,0.00379636
3000000,1,0.0113147
3000000,2,0.0116511
3000000,3,0.011054
3000000,4,0.0115113
3000000,5,0.0112201
8000000,1,0.0319883
8000000,2,0.0313046
8000000,3,0.0321215
8000000,4,0.0310103
8000000,5,0.0312439
10000001,1,0.0392348
10000001,2,0.0389546
10000001,3,0.0404041
10000001,4,0.0398808
10000001,5,0.0392713
40000089,1,0.153007
40000089,2,0.153232
40000089,3,0.154251
40000089,4,0.15565
40000089,5,0.154572
80000000,1,0.309236
80000000,2,0.306073
80000000,3,0.304537
80000000,4,0.309721
80000000,5,0.308601
200000000,1,0.765262
200000000,2,0.757798
200000000,3,0.761801
200000000,4,0.760007
200000000,5,0.771309
500000057,1,1.91733
500000057,2,1.90547
500000057,3,1.90513
500000057,4,1.90665
500000057,5,2.00158
800000000,1,3.07138
800000000,2,3.04577
800000000,3,3.09665
800000000,4,3.05182
800000000,5,3.05143
