size,run,time
10003,1,2.7557e-05
10003,2,2.6074e-05
10003,3,2.8039e-05
10003,4,2.6128e-05
10003,5,2.762e-05
10003,1,2.5919e-05
10003,2,4.3753e-05
10003,3,4.6901e-05
10003,4,2.7789e-05
10003,5,2.8141e-05
100003,1,0.000272528
100003,2,0.000290042
100003,3,0.000267269
100003,4,0.000252953
100003,5,0.000301049
1000001,1,0.00266051
1000001,2,0.00267687
1000001,3,0.00270806
1000001,4,0.00268907
1000001,5,0.00269475
3000000,1,0.00843376
3000000,2,0.00857072
3000000,3,0.00860742
3000000,4,0.00830028
3000000,5,0.00867866
8000000,1,0.0232816
8000000,2,0.024025
8000000,3,0.0240493
8000000,4,0.0251961
8000000,5,0.0231755
10000001,1,0.0296201
10000001,2,0.0284259
10000001,3,0.0296544
10000001,4,0.0287854
10000001,5,0.0297076
40000089,1,0.112644
40000089,2,0.113082
40000089,3,0.121093
40000089,4,0.112926
40000089,5,0.113398
80000000,1,0.243148
80000000,2,0.242463
80000000,3,0.242655
80000000,4,0.242462
80000000,5,0.243157
200000000,1,0.599956
200000000,2,0.604893
200000000,3,0.601932
200000000,4,0.604413
200000000,5,0.60045
500000057,1,1.52179
500000057,2,1.51624
500000057,3,1.51975
500000057,4,1.52001
500000057,5,1.70328
800000000,1,2.42384
800000000,2,2.42457
800000000,3,2.42744
800000000,4,2.42546
800000000,5,2.41959
