size,run,time
10,1,7.55e-07
10,2,3.89e-07
10,3,3.92e-07
10,4,4.48e-07
10,5,3.77e-07
10,6,4.38e-07
10,7,4.06e-07
10,8,3.88e-07
10,9,4.18e-07
10,10,4.6e-07
20,1,4.42e-07
20,2,3.81e-07
20,3,4.58e-07
20,4,4.16e-07
20,5,3.99e-07
20,6,4.43e-07
20,7,4.46e-07
20,8,4.46e-07
20,9,4.39e-07
20,10,4.21e-07
30,1,4.41e-07
30,2,5.03e-07
30,3,4.25e-07
30,4,4.29e-07
30,5,4.78e-07
30,6,5.11e-07
30,7,4.55e-07
30,8,4.75e-07
30,9,4.67e-07
30,10,4.51e-07
40,1,5.41e-07
40,2,5.32e-07
40,3,4.93e-07
40,4,5.42e-07
40,5,5.77e-07
40,6,5.39e-07
40,7,5.27e-07
40,8,5.28e-07
40,9,5.54e-07
40,10,6e-07
50,1,5.69e-07
50,2,6e-07
50,3,5.96e-07
50,4,6.44e-07
50,5,7.41e-07
50,6,6.05e-07
50,7,5.61e-07
50,8,5.6e-07
50,9,5.6e-07
50,10,5.82e-07
100,1,7.99e-07
100,2,8.31e-07
100,3,7.86e-07
100,4,7.76e-07
100,5,7.67e-07
100,6,8.95e-07
100,7,8.99e-07
100,8,8.83e-07
100,9,8.8e-07
100,10,8.09e-07
120,1,8.81e-07
120,2,9.51e-07
120,3,9.77e-07
120,4,9.39e-07
120,5,9.14e-07
120,6,9.35e-07
120,7,9.02e-07
120,8,9.2e-07
120,9,9.82e-07
120,10,9.04e-07
140,1,9.62e-07
140,2,1.045e-06
140,3,9.66e-07
140,4,1.07e-06
140,5,9.73e-07
140,6,9.65e-07
140,7,9.54e-07
140,8,1.059e-06
140,9,1.021e-06
140,10,9.77e-07
160,1,1.085e-06
160,2,1.117e-06
160,3,1.136e-06
160,4,1.08e-06
160,5,1.064e-06
160,6,1.096e-06
160,7,1.043e-06
160,8,1.081e-06
160,9,1.194e-06
160,10,1.194e-06
180,1,1.286e-06
180,2,1.247e-06
180,3,1.169e-06
180,4,1.163e-06
180,5,1.185e-06
180,6,1.169e-06
180,7,1.156e-06
180,8,1.281e-06
180,9,1.28e-06
180,10,1.277e-06
200,1,1.391e-06
200,2,1.365e-06
200,3,1.397e-06
200,4,1.238e-06
200,5,1.28e-06
200,6,1.334e-06
200,7,1.379e-06
200,8,1.409e-06
200,9,1.388e-06
200,10,1.345e-06
