size,run,time
10,1,9.033e-06
10,2,6.56e-06
10,3,6.304e-06
10,4,5.908e-06
10,5,5.996e-06
10,6,6.028e-06
10,7,6.252e-06
10,8,7.181e-06
10,9,6.785e-06
10,10,6.086e-06
20,1,6.068e-06
20,2,6.03e-06
20,3,4.763e-06
20,4,6.412e-06
20,5,6.04e-06
20,6,6.511e-06
20,7,6.291e-06
20,8,6.058e-06
20,9,6.68e-06
20,10,6.753e-06
30,1,6.358e-06
30,2,7.35e-06
30,3,7.671e-06
30,4,5.115e-06
30,5,7.24e-06
30,6,6.261e-06
30,7,7.354e-06
30,8,6.663e-06
30,9,6.308e-06
30,10,6.555e-06
40,1,6.56e-06
40,2,7.489e-06
40,3,6.281e-06
40,4,7.49e-06
40,5,6.757e-06
40,6,6.991e-06
40,7,6.522e-06
40,8,6.326e-06
40,9,6.597e-06
40,10,6.856e-06
50,1,7.104e-06
50,2,1.432e-05
50,3,6.308e-06
50,4,7.226e-06
50,5,7.145e-06
50,6,6.935e-06
50,7,4.882e-06
50,8,7.08e-06
50,9,6.665e-06
50,10,7.189e-06
60,1,6.784e-06
60,2,7.449e-06
60,3,7.061e-06
60,4,6.348e-06
60,5,6.234e-06
60,6,6.542e-06
60,7,6.643e-06
60,8,6.723e-06
60,9,6.515e-06
60,10,6.672e-06
70,1,5.582e-06
70,2,6.643e-06
70,3,7.889e-06
70,4,7.721e-06
70,5,6.852e-06
70,6,1.4994e-05
70,7,7.439e-06
70,8,6.828e-06
70,9,6.402e-06
70,10,7.356e-06
80,1,6.991e-06
80,2,7.356e-06
80,3,7.195e-06
80,4,6.908e-06
80,5,6.522e-06
80,6,7.342e-06
80,7,7.677e-06
80,8,7.374e-06
80,9,7.235e-06
80,10,7.012e-06
90,1,6.787e-06
90,2,6.911e-06
90,3,7.54e-06
90,4,6.742e-06
90,5,7.309e-06
90,6,7.216e-06
90,7,7.239e-06
90,8,6.771e-06
90,9,7.27e-06
90,10,2.797e-05
100,1,6.888e-06
100,2,7.4e-06
100,3,7.645e-06
100,4,8.421e-06
100,5,7.86e-06
100,6,7.398e-06
100,7,6.613e-06
100,8,6.855e-06
100,9,7.577e-06
100,10,7.549e-06
120,1,6.942e-06
120,2,7.122e-06
120,3,7.842e-06
120,4,7.85e-06
120,5,7.796e-06
120,6,6.67e-06
120,7,6.791e-06
120,8,8.229e-06
120,9,7.63e-06
120,10,8.073e-06
140,1,9.021e-06
140,2,8.211e-06
140,3,8.378e-06
140,4,8.545e-06
140,5,7.966e-06
140,6,8.671e-06
140,7,6.508e-06
140,8,7.771e-06
140,9,7.849e-06
140,10,8.972e-06
160,1,6.279e-06
160,2,8.015e-06
160,3,7.206e-06
160,4,7.609e-06
160,5,7.196e-06
160,6,7.686e-06
160,7,8.231e-06
160,8,6.634e-06
160,9,7.099e-06
160,10,7.549e-06
180,1,7.992e-06
180,2,7.992e-06
180,3,7.876e-06
180,4,7.419e-06
180,5,7.707e-06
180,6,7.732e-06
180,7,8.482e-06
180,8,7.612e-06
180,9,8.43e-06
180,10,9.03e-06
200,1,9.157e-06
200,2,8.537e-06
200,3,6.966e-06
200,4,8.524e-06
200,5,8.678e-06
200,6,8.166e-06
200,7,8.209e-06
200,8,8.038e-06
200,9,7.599e-06
200,10,9.09e-06
