size,run,time
10,1,7.644e-06
10,2,2.8269e-05
10,3,5.655e-06
10,4,5.895e-06
10,5,5.996e-06
10,6,6.288e-06
10,7,5.311e-06
10,8,5.508e-06
10,9,5.367e-06
10,10,5.794e-06
20,1,6.705e-06
20,2,6.055e-06
20,3,5.61e-06
20,4,6.018e-06
20,5,5.498e-06
20,6,5.539e-06
20,7,5.336e-06
20,8,4.681e-06
20,9,6.191e-06
20,10,6.295e-06
30,1,2.7679e-05
30,2,6.138e-06
30,3,5.591e-06
30,4,5.747e-06
30,5,5.411e-06
30,6,5.836e-06
30,7,5.852e-06
30,8,5.403e-06
30,9,5.618e-06
30,10,6.158e-06
40,1,5.587e-06
40,2,6.508e-06
40,3,5.304e-06
40,4,6.337e-06
40,5,6.566e-06
40,6,6.577e-06
40,7,5.92e-06
40,8,6.2e-06
40,9,6.17e-06
40,10,5.845e-06
50,1,6.286e-06
50,2,6.764e-06
50,3,6.028e-06
50,4,5.941e-06
50,5,6.171e-06
50,6,1.0839e-05
50,7,6.504e-06
50,8,5.865e-06
50,9,5.916e-06
50,10,6.244e-06
100,1,6.676e-06
100,2,6.02e-06
100,3,6.854e-06
100,4,6.994e-06
100,5,6.596e-06
100,6,6.593e-06
100,7,6.829e-06
100,8,7.171e-06
100,9,6.066e-06
100,10,1.5318e-05
120,1,6.3e-06
120,2,6.411e-06
120,3,7.478e-06
120,4,5.673e-06
120,5,6.414e-06
120,6,7.048e-06
120,7,6.872e-06
120,8,6.29e-06
120,9,6.722e-06
120,10,6.609e-06
140,1,6.751e-06
140,2,6.54e-06
140,3,6.933e-06
140,4,7.42e-06
140,5,7.217e-06
140,6,6.591e-06
140,7,6.551e-06
140,8,7.379e-06
140,9,6.695e-06
140,10,6.948e-06
160,1,7.729e-06
160,2,7.301e-06
160,3,6.751e-06
160,4,7.043e-06
160,5,6.865e-06
160,6,7.431e-06
160,7,3.2101e-05
160,8,7.535e-06
160,9,7.011e-06
160,10,7.848e-06
180,1,7.218e-06
180,2,6.666e-06
180,3,7.125e-06
180,4,3.1971e-05
180,5,7.151e-06
180,6,7.519e-06
180,7,7.63e-06
180,8,7.356e-06
180,9,6.451e-06
180,10,7.371e-06
200,1,7.021e-06
200,2,7.236e-06
200,3,7.227e-06
200,4,7.485e-06
200,5,7.489e-06
200,6,7.367e-06
200,7,7.29e-06
200,8,7.629e-06
200,9,6.984e-06
200,10,7.83e-06
