size,run,time
10,1,1.0865e-05
10,2,6.998e-06
10,3,6.426e-06
10,4,6.286e-06
10,5,1.3364e-05
100,1,7.182e-06
100,2,7.381e-06
100,3,7.519e-06
100,4,3.4302e-05
100,5,7.952e-06
1003,1,1.6953e-05
1003,2,1.516e-05
1003,3,1.6009e-05
1003,4,1.6583e-05
1003,5,1.7938e-05
10003,1,0.000108723
10003,2,0.00014628
10003,3,0.000109163
10003,4,0.000108827
10003,5,0.000135401
10003,1,0.000126824
10003,2,0.000109279
10003,3,0.000108017
10003,4,0.000108665
10003,5,0.000125629
100003,1,0.00110209
100003,2,0.00111493
100003,3,0.00110695
100003,4,0.00110767
100003,5,0.00109045
1000001,1,0.0109919
1000001,2,0.0107613
1000001,3,0.0110069
1000001,4,0.010962
1000001,5,0.0109365
3000000,1,0.0313422
3000000,2,0.0325031
3000000,3,0.0315408
3000000,4,0.0324334
3000000,5,0.0312889
8000000,1,0.084312
8000000,2,0.0839238
8000000,3,0.0869278
8000000,4,0.0837746
8000000,5,0.086894
10000001,1,0.105418
10000001,2,0.108616
10000001,3,0.104766
10000001,4,0.104882
10000001,5,0.1048
40000089,1,0.433968
40000089,2,0.419664
40000089,3,0.419087
40000089,4,0.420229
40000089,5,0.434246
80000000,1,0.837514
80000000,2,0.840307
80000000,3,0.837147
80000000,4,0.838692
80000000,5,0.866341
200000000,1,2.10085
200000000,2,2.09605
200000000,3,2.09754
200000000,4,2.09568
200000000,5,2.09813
500000057,1,5.26348
500000057,2,5.26581
500000057,3,5.24319
500000057,4,5.2588
500000057,5,5.25476
800000000,1,8.37903
800000000,2,8.38813
800000000,3,8.40271
800000000,4,8.42722
800000000,5,8.39043
