threads,chunk_size,problem,dynamic,free,time
0,0,1,0,0,0.984133
0,0,2,0,0,22.8331
0,0,3,0,0,23.1836
2,1,1,0,0,0.5406
2,1,2,0,0,12.3983
2,1,3,0,0,12.7227
2,1,1,1,0,1.33876
2,1,2,1,0,24.9497
2,1,3,1,0,20.5943
2,1,1,1,1,0.663068
2,1,2,1,1,12.7918
2,1,3,1,1,13.9275
2,10,1,0,0,0.512379
2,10,2,0,0,11.7044
2,10,3,0,0,11.6997
2,10,1,1,0,0.62656
2,10,2,1,0,14.932
2,10,3,1,0,15.5591
2,10,1,1,1,0.497209
2,10,2,1,1,11.0852
2,10,3,1,1,11.3644
2,50,1,0,0,0.498726
2,50,2,0,0,11.5035
2,50,3,0,0,11.5063
2,50,1,1,0,0.595565
2,50,2,1,0,14.3602
2,50,3,1,0,14.6171
2,50,1,1,1,0.474336
2,50,2,1,1,10.733
2,50,3,1,1,10.8419
2,100,1,0,0,0.503412
2,100,2,0,0,11.4342
2,100,3,0,0,11.9117
2,100,1,1,0,0.580197
2,100,2,1,0,14.2742
2,100,3,1,0,15.1465
2,100,1,1,1,0.4699
2,100,2,1,1,10.6135
2,100,3,1,1,10.7586
2,1000,1,0,0,0.964934
2,1000,2,0,0,11.2641
2,1000,3,0,0,11.7138
2,1000,1,1,0,0.581202
2,1000,2,1,0,14.1372
2,1000,3,1,0,14.8453
2,1000,1,1,1,0.45394
2,1000,2,1,1,10.5008
2,1000,3,1,1,10.9713
4,1,1,0,0,0.313004
4,1,2,0,0,7.06674
4,1,3,0,0,7.05467
4,1,1,1,0,1.38685
4,1,2,1,0,25.742
4,1,3,1,0,24.8578
4,1,1,1,1,0.367488
4,1,2,1,1,8.07045
4,1,3,1,1,8.05068
4,10,1,0,0,0.278042
4,10,2,0,0,6.54347
4,10,3,0,0,6.53892
4,10,1,1,0,0.335856
4,10,2,1,0,7.87761
4,10,3,1,0,8.15804
4,10,1,1,1,0.26448
4,10,2,1,1,6.03142
4,10,3,1,1,6.1148
4,50,1,0,0,0.272234
4,50,2,0,0,6.34417
