threads,chunk_size,problem,dynamic,free,time
0,0,1,0,0,0.984889
0,0,2,0,0,22.8445
0,0,3,0,0,23.1983
2,1,1,0,0,0.540889
2,1,2,0,0,12.4967
2,1,3,0,0,12.7207
2,1,1,1,0,0.970928
2,1,2,1,0,26.9861
2,1,3,1,0,27.8145
2,1,1,1,1,0.663935
2,1,2,1,1,13.8791
2,1,3,1,1,14.7843
2,10,1,0,0,0.519601
2,10,2,0,0,11.6978
2,10,3,0,0,11.7072
2,10,1,1,0,0.628321
2,10,2,1,0,14.9456
2,10,3,1,0,15.5309
2,10,1,1,1,0.488839
2,10,2,1,1,11.131
2,10,3,1,1,11.3309
2,50,1,0,0,0.513163
2,50,2,0,0,11.6769
2,50,3,0,0,11.5805
2,50,1,1,0,0.588077
2,50,2,1,0,14.4968
2,50,3,1,0,14.5961
2,50,1,1,1,0.474755
2,50,2,1,1,11.081
2,50,3,1,1,10.9104
2,100,1,0,0,0.51066
2,100,2,0,0,11.4293
2,100,3,0,0,11.9048
2,100,1,1,0,0.588332
2,100,2,1,0,14.289
2,100,3,1,0,14.5247
2,100,1,1,1,0.470316
2,100,2,1,1,10.6218
2,100,3,1,1,10.8016
2,1000,1,0,0,0.964315
2,1000,2,0,0,11.2963
2,1000,3,0,0,11.3272
2,1000,1,1,0,0.582279
2,1000,2,1,0,14.6897
2,1000,3,1,0,14.4337
2,1000,1,1,1,0.457119
2,1000,2,1,1,10.8334
2,1000,3,1,1,11.0171
4,1,1,0,0,0.313677
4,1,2,0,0,7.08282
4,1,3,0,0,7.0649
4,1,1,1,0,1.2939
4,1,2,1,0,25.8316
4,1,3,1,0,27.5963
4,1,1,1,1,0.366845
4,1,2,1,1,8.08247
4,1,3,1,1,8.21769
4,10,1,0,0,0.277882
4,10,2,0,0,6.54265
4,10,3,0,0,6.54368
4,10,1,1,0,0.347158
4,10,2,1,0,8.22437
4,10,3,1,0,8.37227
4,10,1,1,1,0.264426
4,10,2,1,1,6.02116
4,10,3,1,1,6.11128
4,50,1,0,0,0.272344
4,50,2,0,0,6.34731
4,50,3,0,0,6.36498
4,50,1,1,0,0.310726
4,50,2,1,0,7.66367
4,50,3,1,0,7.77333
4,50,1,1,1,0.250844
4,50,2,1,1,5.75695
4,50,3,1,1,5.73939
4,100,1,0,0,0.31835
4,100,2,0,0,6.28336
4,100,3,0,0,6.28379
4,100,1,1,0,0.308048
4,100,2,1,0,7.57322
4,100,3,1,0,7.69616
4,100,1,1,1,0.247762
4,100,2,1,1,5.68261
4,100,3,1,1,5.76993
4,1000,1,0,0,0.966551
4,1000,2,0,0,6.10454
4,1000,3,0,0,6.10589
4,1000,1,1,0,0.303561
4,1000,2,1,0,7.491
4,1000,3,1,0,7.59956
4,1000,1,1,1,0.240282
4,1000,2,1,1,5.53149
4,1000,3,1,1,5.62202
8,1,1,0,0,0.160954
8,1,2,0,0,3.78513
8,1,3,0,0,3.78419
8,1,1,1,0,1.61155
8,1,2,1,0,31.0414
8,1,3,1,0,31.3381
8,1,1,1,1,0.21803
8,1,2,1,1,4.55501
8,1,3,1,1,4.65233
8,10,1,0,0,0.147683
8,10,2,0,0,3.40486
8,10,3,0,0,3.40466
8,10,1,1,0,0.199592
8,10,2,1,0,4.54707
8,10,3,1,0,4.36248
8,10,1,1,1,0.137919
8,10,2,1,1,3.14279
8,10,3,1,1,3.19179
8,50,1,0,0,0.165692
8,50,2,0,0,3.2451
8,50,3,0,0,3.24534
8,50,1,1,0,0.160104
8,50,2,1,0,3.9275
8,50,3,1,0,3.98879
8,50,1,1,1,0.129466
8,50,2,1,1,2.97638
8,50,3,1,1,3.0242
8,100,1,0,0,0.210935
8,100,2,0,0,3.20039
8,100,3,0,0,3.20099
8,100,1,1,0,0.158228
8,100,2,1,0,3.87215
8,100,3,1,0,3.93753
8,100,1,1,1,0.127142
8,100,2,1,1,2.92581
8,100,3,1,1,2.9708
8,1000,1,0,0,0.966439
8,1000,2,0,0,3.0718
8,1000,3,0,0,3.07622
8,1000,1,1,0,0.155506
8,1000,2,1,0,3.82905
8,1000,3,1,0,3.88684
8,1000,1,1,1,0.122844
8,1000,2,1,1,2.83072
8,1000,3,1,1,2.87356
16,1,1,0,0,0.0829045
16,1,2,0,0,1.99502
16,1,3,0,0,1.99563
16,1,1,1,0,1.57943
16,1,2,1,0,29.1047
16,1,3,1,0,30.2573
16,1,1,1,1,0.200675
16,1,2,1,1,3.8202
16,1,3,1,1,3.88322
16,10,1,0,0,0.0810493
16,10,2,0,0,1.75931
16,10,3,0,0,1.76013
16,10,1,1,0,0.167193
16,10,2,1,0,3.11059
16,10,3,1,0,3.20098
16,10,1,1,1,0.0712778
16,10,2,1,1,1.60561
16,10,3,1,1,1.63097
16,50,1,0,0,0.111238
16,50,2,0,0,1.64795
16,50,3,0,0,1.64803
16,50,1,1,0,0.0831534
16,50,2,1,0,1.97954
16,50,3,1,0,2.01089
16,50,1,1,1,0.0659008
16,50,2,1,1,1.50389
16,50,3,1,1,1.53881
16,100,1,0,0,0.110234
16,100,2,0,0,1.62545
16,100,3,0,0,1.62509
16,100,1,1,0,0.0831423
16,100,2,1,0,1.94533
16,100,3,1,0,1.97464
16,100,1,1,1,0.0644858
16,100,2,1,1,1.47852
16,100,3,1,1,1.49681
16,1000,1,0,0,0.967155
16,1000,2,0,0,1.54193
16,1000,3,0,0,1.5399
16,1000,1,1,0,0.0787229
16,1000,2,1,0,1.91639
16,1000,3,1,0,1.94466
16,1000,1,1,1,0.0618822
16,1000,2,1,1,1.4164
16,1000,3,1,1,1.43859
32,1,1,0,0,0.058248
32,1,2,0,0,1.38174
32,1,3,0,0,1.38005
32,1,1,1,0,1.5621
32,1,2,1,0,30.2561
32,1,3,1,0,31.2507
32,1,1,1,1,0.134611
32,1,2,1,1,2.67883
32,1,3,1,1,2.67564
32,10,1,0,0,0.0608258
32,10,2,0,0,1.26158
32,10,3,0,0,1.26609
32,10,1,1,0,0.162176
32,10,2,1,0,3.06128
32,10,3,1,0,2.94068
32,10,1,1,1,0.0494743
32,10,2,1,1,1.09333
32,10,3,1,1,1.11098
32,50,1,0,0,0.0795055
32,50,2,0,0,1.17714
32,50,3,0,0,1.17859
32,50,1,1,0,0.0570859
32,50,2,1,0,1.32297
32,50,3,1,0,1.344
32,50,1,1,1,0.0464452
32,50,2,1,1,1.04657
32,50,3,1,1,1.06303
32,100,1,0,0,0.113715
32,100,2,0,0,1.15548
32,100,3,0,0,1.15644
32,100,1,1,0,0.0553518
32,100,2,1,0,1.30479
32,100,3,1,0,1.32442
32,100,1,1,1,0.0460274
32,100,2,1,1,1.03264
32,100,3,1,1,1.04854
32,1000,1,0,0,0.97066
32,1000,2,0,0,1.10379
32,1000,3,0,0,1.10383
32,1000,1,1,0,0.0544489
32,1000,2,1,0,1.30862
32,1000,3,1,0,1.32766
32,1000,1,1,1,0.0441825
32,1000,2,1,1,1.01181
32,1000,3,1,1,1.02764
1,1,1,0,0,0.968605
1,1,2,0,0,22.3748
1,1,3,0,0,22.3776
1,1,1,1,0,1.20244
1,1,2,1,0,29.4359
1,1,3,1,0,29.9589
1,1,1,1,1,0.929576
1,1,2,1,1,21.3041
1,1,3,1,1,21.6366
1,10,1,0,0,0.967101
1,10,2,0,0,22.3445
1,10,3,0,0,22.338
1,10,1,1,0,1.14729
1,10,2,1,0,28.3709
1,10,3,1,0,28.7859
1,10,1,1,1,0.905492
1,10,2,1,1,20.7809
1,10,3,1,1,21.1115
1,50,1,0,0,0.965649
1,50,2,0,0,22.3279
1,50,3,0,0,22.3214
1,50,1,1,0,1.14025
1,50,2,1,0,28.2215
1,50,3,1,0,28.643
1,50,1,1,1,0.900655
1,50,2,1,1,20.7127
1,50,3,1,1,21.0333
1,100,1,0,0,0.966164
1,100,2,0,0,22.3211
1,100,3,0,0,22.3107
1,100,1,1,0,1.14112
1,100,2,1,0,28.2002
1,100,3,1,0,28.5674
1,100,1,1,1,0.900462
1,100,2,1,1,20.7035
1,100,3,1,1,21.0239
1,1000,1,0,0,0.964499
1,1000,2,0,0,22.3197
1,1000,3,0,0,22.3152
1,1000,1,1,0,1.14134
1,1000,2,1,0,28.1277
1,1000,3,1,0,28.5945
1,1000,1,1,1,0.898509
1,1000,2,1,1,20.6979
1,1000,3,1,1,21.0181
