trial,affinity,problem,time
1,true,small_files/,5.57701
1,true,big_files/,7.51964
1,false,small_files/,5.01164
1,false,big_files/,4.59826
1,master,small_files/,19.8523
1,master,big_files/,20.8457
1,spread,small_files/,6.09164
1,spread,big_files/,4.60128
1,close,small_files/,5.34885
1,close,big_files/,5.97955
2,true,small_files/,5.89141
2,true,big_files/,7.34489
2,false,small_files/,4.59798
2,false,big_files/,4.49027
2,master,small_files/,19.9836
2,master,big_files/,20.8205
2,spread,small_files/,4.87204
2,spread,big_files/,4.63236
2,close,small_files/,4.88243
2,close,big_files/,7.54507
3,true,small_files/,8.33193
3,true,big_files/,6.94443
3,false,small_files/,9.71038
3,false,big_files/,5.37505
3,master,small_files/,28.419
3,master,big_files/,20.7814
3,spread,small_files/,4.70108
3,spread,big_files/,4.58663
3,close,small_files/,4.96958
3,close,big_files/,5.95715
4,true,small_files/,5.2057
4,true,big_files/,5.91258
4,false,small_files/,4.83712
4,false,big_files/,4.45547
4,master,small_files/,19.7316
4,master,big_files/,21.1543
4,spread,small_files/,4.59659
4,spread,big_files/,4.46053
4,close,small_files/,5.07991
4,close,big_files/,5.91562
5,true,small_files/,5.15813
5,true,big_files/,5.9065
5,false,small_files/,4.78804
5,false,big_files/,4.45451
5,master,small_files/,19.6362
5,master,big_files/,20.8563
5,spread,small_files/,4.65732
5,spread,big_files/,4.45749
5,close,small_files/,4.91198
5,close,big_files/,5.75096
6,true,small_files/,4.83064
6,true,big_files/,5.92409
6,false,small_files/,4.75355
6,false,big_files/,5.28078
6,master,small_files/,19.5637
6,master,big_files/,20.3184
6,spread,small_files/,4.7133
6,spread,big_files/,4.51515
6,close,small_files/,5.03799
6,close,big_files/,6.00095
7,true,small_files/,4.93895
7,true,big_files/,5.80477
7,false,small_files/,4.59055
7,false,big_files/,4.46019
7,master,small_files/,19.6466
7,master,big_files/,21.6972
7,spread,small_files/,4.64193
7,spread,big_files/,4.44981
7,close,small_files/,4.84063
7,close,big_files/,5.95001
8,true,small_files/,5.0414
8,true,big_files/,5.89262
8,false,small_files/,4.83762
8,false,big_files/,4.42097
8,master,small_files/,19.6566
8,master,big_files/,20.6515
8,spread,small_files/,4.78125
8,spread,big_files/,4.53657
8,close,small_files/,4.94774
8,close,big_files/,5.9346
9,true,small_files/,4.98159
9,true,big_files/,6.14394
9,false,small_files/,4.71851
9,false,big_files/,4.54207
9,master,small_files/,19.6241
9,master,big_files/,20.4083
9,spread,small_files/,4.93384
9,spread,big_files/,4.95935
9,close,small_files/,4.94997
9,close,big_files/,5.91721
