trial,scheduling,block,threads,time
1,static,1,8,10.2992
1,dynamic,1,8,5.24495
1,static,3,8,7.01909
1,dynamic,3,8,11.7756
1,static,8,8,5.10768
1,dynamic,8,8,5.22143
1,static,1,16,4.83876
1,dynamic,1,16,5.53044
1,static,3,16,4.96178
1,dynamic,3,16,4.57063
1,static,8,16,8.3773
1,dynamic,8,16,5.2459
1,static,1,32,5.07341
1,dynamic,1,32,4.97271
1,static,3,32,4.26563
1,dynamic,3,32,4.35574
1,static,8,32,4.37739
1,dynamic,8,32,9.0556
2,static,1,8,5.28912
2,dynamic,1,8,4.5592
2,static,3,8,4.36145
2,dynamic,3,8,4.48802
2,static,8,8,5.55568
2,dynamic,8,8,5.28569
2,static,1,16,4.47427
2,dynamic,1,16,4.61495
2,static,3,16,4.1491
2,dynamic,3,16,4.163
2,static,8,16,4.71535
2,dynamic,8,16,4.33335
2,static,1,32,4.44538
2,dynamic,1,32,4.21618
2,static,3,32,4.13745
2,dynamic,3,32,4.35253
2,static,8,32,4.36168
2,dynamic,8,32,4.29642
3,static,1,8,4.49358
3,dynamic,1,8,4.49373
3,static,3,8,4.57027
3,dynamic,3,8,4.36338
3,static,8,8,4.43012
3,dynamic,8,8,4.36369
3,static,1,16,4.42848
3,dynamic,1,16,4.89538
3,static,3,16,5.68042
3,dynamic,3,16,7.35846
3,static,8,16,5.57465
3,dynamic,8,16,4.57548
3,static,1,32,4.40725
3,dynamic,1,32,4.7487
3,static,3,32,7.1721
3,dynamic,3,32,4.26641
3,static,8,32,4.20053
3,dynamic,8,32,4.08073
4,static,1,8,4.43775
4,dynamic,1,8,4.83325
4,static,3,8,4.38421
4,dynamic,3,8,6.09044
4,static,8,8,11.0841
4,dynamic,8,8,5.18897
4,static,1,16,4.85959
4,dynamic,1,16,5.68779
4,static,3,16,4.85002
4,dynamic,3,16,4.33625
4,static,8,16,4.54732
4,dynamic,8,16,4.62566
4,static,1,32,4.32109
4,dynamic,1,32,4.47579
4,static,3,32,4.33683
4,dynamic,3,32,4.17249
4,static,8,32,4.21618
4,dynamic,8,32,4.26457
5,static,1,8,4.46292
5,dynamic,1,8,4.72329
5,static,3,8,5.40727
5,dynamic,3,8,4.48685
5,static,8,8,5.1015
5,dynamic,8,8,4.53083
5,static,1,16,4.84425
5,dynamic,1,16,4.28899
5,static,3,16,4.33023
5,dynamic,3,16,4.13199
5,static,8,16,4.49681
5,dynamic,8,16,4.3359
5,static,1,32,4.19798
5,dynamic,1,32,5.32598
5,static,3,32,4.87714
5,dynamic,3,32,4.24466
5,static,8,32,4.69676
5,dynamic,8,32,4.70478
