trial,problem,threads,time
1,small_files/,2,13.5053
1,mixed_files/,2,13.7232
1,big_files/,2,12.9487
1,small_files/,4,17.5966
1,mixed_files/,4,6.83166
1,big_files/,4,7.22196
1,small_files/,8,4.56711
1,mixed_files/,8,4.3978
1,big_files/,8,4.54513
1,small_files/,10,5.12371
1,mixed_files/,10,3.3246
1,big_files/,10,3.9468
1,small_files/,12,6.26662
1,mixed_files/,12,3.24362
1,big_files/,12,3.58993
1,small_files/,14,5.14848
1,mixed_files/,14,2.88371
1,big_files/,14,3.01288
1,small_files/,16,4.37164
1,mixed_files/,16,3.70979
1,big_files/,16,3.12759
1,small_files/,18,5.67364
1,mixed_files/,18,3.72593
1,big_files/,18,5.456
1,small_files/,20,5.61071
1,mixed_files/,20,3.08487
1,big_files/,20,7.65213
1,small_files/,22,4.19574
1,mixed_files/,22,3.04467
1,big_files/,22,3.25757
1,small_files/,24,5.62725
1,mixed_files/,24,3.2721
1,big_files/,24,2.98565
1,small_files/,28,6.20176
1,mixed_files/,28,2.86586
1,big_files/,28,2.97552
1,small_files/,30,4.31274
1,mixed_files/,30,3.01193
1,big_files/,30,3.91475
1,small_files/,32,5.50066
1,mixed_files/,32,2.94426
1,big_files/,32,3.03465
2,small_files/,2,11.9974
2,mixed_files/,2,11.3424
2,big_files/,2,13.8764
2,small_files/,4,7.60166
2,mixed_files/,4,8.74223
2,big_files/,4,10.4392
2,small_files/,8,6.30696
2,mixed_files/,8,3.42816
2,big_files/,8,6.5534
2,small_files/,10,4.60457
2,mixed_files/,10,3.69964
2,big_files/,10,3.94284
2,small_files/,12,5.34162
2,mixed_files/,12,3.20277
2,big_files/,12,3.48086
2,small_files/,14,4.95385
2,mixed_files/,14,4.19082
2,big_files/,14,3.77155
2,small_files/,16,6.567
2,mixed_files/,16,3.08061
2,big_files/,16,4.58473
2,small_files/,18,5.81259
2,mixed_files/,18,2.85037
2,big_files/,18,3.23683
2,small_files/,20,5.88409
2,mixed_files/,20,3.04322
2,big_files/,20,5.87489
2,small_files/,22,4.28629
2,mixed_files/,22,2.98468
2,big_files/,22,3.41861
2,small_files/,24,4.43739
2,mixed_files/,24,2.78929
2,big_files/,24,3.8362
2,small_files/,28,4.41282
2,mixed_files/,28,3.21899
2,big_files/,28,4.47558
2,small_files/,30,4.70004
2,mixed_files/,30,2.84015
2,big_files/,30,3.11346
2,small_files/,32,4.65945
2,mixed_files/,32,3.31456
2,big_files/,32,7.35837
3,small_files/,2,12.5111
3,mixed_files/,2,15.1704
3,big_files/,2,12.2428
3,small_files/,4,14.5899
3,mixed_files/,4,6.25397
3,big_files/,4,7.96299
3,small_files/,8,4.79567
3,mixed_files/,8,3.729
3,big_files/,8,4.57355
3,small_files/,10,4.64229
3,mixed_files/,10,3.25528
3,big_files/,10,4.07545
3,small_files/,12,4.34017
3,mixed_files/,12,3.21109
3,big_files/,12,3.54161
3,small_files/,14,4.63191
3,mixed_files/,14,2.82064
3,big_files/,14,3.74317
3,small_files/,16,4.34929
3,mixed_files/,16,2.83311
3,big_files/,16,3.11243
3,small_files/,18,4.96989
3,mixed_files/,18,2.96881
3,big_files/,18,3.61997
3,small_files/,20,4.44249
3,mixed_files/,20,4.18556
3,big_files/,20,3.349
3,small_files/,22,4.91195
3,mixed_files/,22,3.01391
3,big_files/,22,3.9313
3,small_files/,24,4.62763
3,mixed_files/,24,4.15832
3,big_files/,24,3.31696
3,small_files/,28,4.43354
3,mixed_files/,28,3.91074
3,big_files/,28,6.51021
3,small_files/,30,4.33842
3,mixed_files/,30,3.47006
3,big_files/,30,3.95924
3,small_files/,32,8.79443
3,mixed_files/,32,3.48832
3,big_files/,32,3.79398
4,small_files/,2,25.5272
4,mixed_files/,2,12.6683
4,big_files/,2,14.3965
4,small_files/,4,17.1907
4,mixed_files/,4,6.78747
4,big_files/,4,7.04121
4,small_files/,8,6.11469
4,mixed_files/,8,7.29208
4,big_files/,8,7.4576
4,small_files/,10,8.05882
4,mixed_files/,10,3.72082
4,big_files/,10,6.20911
4,small_files/,12,4.52662
4,mixed_files/,12,3.30044
4,big_files/,12,4.00063
4,small_files/,14,5.47144
4,mixed_files/,14,3.8107
4,big_files/,14,3.18136
4,small_files/,16,5.88539
4,mixed_files/,16,4.75296
4,big_files/,16,3.61112
4,small_files/,18,5.66279
4,mixed_files/,18,3.53858
4,big_files/,18,3.00849
4,small_files/,20,16.3264
4,mixed_files/,20,3.05885
4,big_files/,20,3.72828
4,small_files/,22,5.06627
4,mixed_files/,22,3.12264
4,big_files/,22,2.93847
4,small_files/,24,5.47905
4,mixed_files/,24,3.28784
4,big_files/,24,3.2803
4,small_files/,28,5.25307
4,mixed_files/,28,3.17792
4,big_files/,28,3.56894
4,small_files/,30,4.66043
4,mixed_files/,30,3.06546
4,big_files/,30,2.98593
4,small_files/,32,4.35623
4,mixed_files/,32,4.79482
4,big_files/,32,3.51729
5,small_files/,2,23.1098
5,mixed_files/,2,11.0302
