nodes,trial,payload,size,buff_size,thread,time
2,1,1,50000000,9999999999999,7,5.10521
2,1,1,50000000,9999999999999,15,4.39285
2,1,1,100000000,9999999999999,7,10.2696
2,1,1,100000000,9999999999999,15,8.62815
4,1,1,50000000,9999999999999,7,4.17712
4,1,1,50000000,9999999999999,15,3.80039
4,1,1,100000000,9999999999999,7,8.46321
4,1,1,100000000,9999999999999,15,7.63004
8,1,1,50000000,9999999999999,7,3.75875
8,1,1,50000000,9999999999999,15,3.59651
8,1,1,100000000,9999999999999,7,7.56043
8,1,1,100000000,9999999999999,15,7.15511
