nodes,trial,p,size,buff_size,time
2,1,1,1000000,10000,0.36819
2,1,1,1000000,25000,0.282439
2,1,1,1000000,100000,0.244286
2,1,1,10000000,10000,20.2696
2,1,1,10000000,25000,9.22217
2,1,1,10000000,100000,4.00435
2,1,1,50000000,25000,192.807
2,1,1,1000000,1000000,0.246894
2,1,1,10000000,1000000,2.72253
4,1,1,1000000,1000000,0.152495
4,1,1,10000000,1000000,1.6517
8,1,1,1000000,1000000,0.114164
8,1,1,10000000,1000000,1.15389
2,1,1,10000000,1000000,2.72327
2,1,1,10000000,3000000,2.70451
2,1,1,10000000,9999999999999,2.70528
2,1,1,50000000,1000000,17.2114
2,1,1,50000000,3000000,15.0199
2,1,1,50000000,9999999999999,14.7218
2,1,1,100000000,1000000,43.8206
2,1,1,100000000,3000000,33.2135
2,1,1,100000000,9999999999999,30.1584
4,1,1,10000000,1000000,1.65275
4,1,1,10000000,3000000,1.67896
4,1,1,10000000,9999999999999,1.64381
4,1,1,50000000,1000000,9.17123
4,1,1,50000000,3000000,8.7907
4,1,1,50000000,9999999999999,8.72835
4,1,1,100000000,1000000,20.6585
4,1,1,100000000,3000000,18.4021
4,1,1,100000000,9999999999999,18.0717
8,1,1,10000000,1000000,1.15881
8,1,1,10000000,3000000,1.15223
8,1,1,10000000,9999999999999,1.15896
8,1,1,50000000,1000000,10000.0
8,1,1,50000000,3000000,5.97469
8,1,1,50000000,9999999999999,6.01821
8,1,1,100000000,1000000,12.532
8,1,1,100000000,3000000,12.1824
8,1,1,100000000,9999999999999,12.2194
1,1,1,10000000,9999999999999,4.85689
1,1,1,50000000,9999999999999,26.4833
1,1,1,100000000,9999999999999,55.4573
