trial,payload,size,task_size,workers,time
1,1,10000,-1,1,0.000828197
1,1,10000,-1,3,0.00146747
1,1,10000,-1,7,0.00124789
1,1,10000,-1,15,0.00254322
1,1,10000,-1,31,0.00494535
1,1,10000,128,1,0.000893902
1,1,10000,128,3,0.000933874
1,1,10000,128,7,0.00133984
1,1,10000,128,15,0.00293393
1,1,10000,128,31,0.00645496
1,1,10000,10000,1,0.00131909
1,1,10000,10000,3,0.00129558
1,1,10000,10000,7,0.00143354
1,1,10000,10000,15,0.0018883
1,1,10000,10000,31,0.00422158
1,1,100000,-1,1,0.00693176
1,1,100000,-1,3,0.00489212
1,1,100000,-1,7,0.00641497
1,1,100000,-1,15,0.00593853
1,1,100000,-1,31,0.00673622
1,1,100000,128,1,0.0081668
1,1,100000,128,3,0.00564868
1,1,100000,128,7,0.00492222
1,1,100000,128,15,0.00577851
1,1,100000,128,31,0.00827089
1,1,100000,10000,1,0.00703176
1,1,100000,10000,3,0.0053792
1,1,100000,10000,7,0.00465869
1,1,100000,10000,15,0.0053106
1,1,100000,10000,31,0.00749901
1,1,100000,25000,1,0.00698222
1,1,100000,25000,3,0.00699174
1,1,100000,25000,7,0.00529354
1,1,100000,25000,15,0.00576649
1,1,100000,25000,31,0.00714972
1,1,100000,100000,1,0.0112434
1,1,100000,100000,3,0.012514
1,1,100000,100000,7,0.0114977
1,1,100000,100000,15,0.0118503
1,1,100000,100000,31,0.0145153
1,1,1000000,-1,1,0.0748544
1,1,1000000,-1,3,0.0479233
1,1,1000000,-1,7,0.0510501
1,1,1000000,-1,15,0.0499953
1,1,1000000,-1,31,0.0587481
1,1,1000000,128,1,0.090733
1,1,1000000,128,3,0.0583138
1,1,1000000,128,7,0.0434262
1,1,1000000,128,15,0.0398562
1,1,1000000,128,31,0.0459787
1,1,1000000,10000,1,0.0814461
1,1,1000000,10000,3,0.0556407
1,1,1000000,10000,7,0.0431265
1,1,1000000,10000,15,0.0384233
1,1,1000000,10000,31,0.0418073
1,1,1000000,25000,1,0.0813497
1,1,1000000,25000,3,0.0536859
1,1,1000000,25000,7,0.0463229
1,1,1000000,25000,15,0.0388189
1,1,1000000,25000,31,0.0434117
1,1,1000000,100000,1,0.0879503
1,1,1000000,100000,3,0.0576292
1,1,1000000,100000,7,0.0472037
1,1,1000000,100000,15,0.0371814
1,1,1000000,100000,31,0.0444548
1,1,10000000,-1,1,0.871473
1,1,10000000,-1,3,0.523984
1,1,10000000,-1,7,0.531517
1,1,10000000,-1,15,0.526381
1,1,10000000,-1,31,0.601761
1,1,10000000,128,1,1.11509
1,1,10000000,128,3,0.686462
1,1,10000000,128,7,0.498431
1,1,10000000,128,15,0.439698
1,1,10000000,128,31,0.478939
1,1,10000000,10000,1,0.952585
1,1,10000000,10000,3,0.605158
1,1,10000000,10000,7,0.415921
1,1,10000000,10000,15,0.340253
1,1,10000000,10000,31,0.353058
1,1,10000000,25000,1,0.975899
1,1,10000000,25000,3,0.597523
1,1,10000000,25000,7,0.42278
1,1,10000000,25000,15,0.345068
1,1,10000000,25000,31,0.362127
1,1,10000000,100000,1,0.961905
1,1,10000000,100000,3,0.588017
1,1,10000000,100000,7,0.427419
1,1,10000000,100000,15,0.349877
1,1,10000000,100000,31,0.372849
1,1,50000000,-1,1,4.74086
1,1,50000000,-1,3,4.75274
1,1,50000000,-1,7,2.82187
1,1,50000000,-1,15,2.81501
1,1,50000000,-1,31,3.25603
1,1,50000000,128,1,6.28246
1,1,50000000,128,3,3.7833
1,1,50000000,128,7,2.72558
1,1,50000000,128,15,2.13537
1,1,50000000,128,31,2.25017
1,1,50000000,10000,1,5.77803
1,1,50000000,10000,3,3.592
1,1,50000000,10000,7,2.49647
1,1,50000000,10000,15,1.9402
1,1,50000000,10000,31,1.86583
1,1,50000000,25000,1,5.47013
1,1,50000000,25000,3,3.24832
1,1,50000000,25000,7,2.31966
1,1,50000000,25000,15,1.71137
1,1,50000000,25000,31,1.67657
1,1,50000000,100000,1,5.20582
1,1,50000000,100000,3,3.28919
1,1,50000000,100000,7,2.21894
1,1,50000000,100000,15,1.67842
1,1,50000000,100000,31,1.70856
1,1,100000000,-1,1,10.0708
1,1,100000000,-1,3,10.1072
1,1,100000000,-1,7,5.97763
1,1,100000000,-1,15,5.91621
1,1,100000000,-1,31,6.84452
1,1,100000000,128,1,13.1462
1,1,100000000,128,3,7.76553
1,1,100000000,128,7,5.59412
1,1,100000000,128,15,4.37939
1,1,100000000,128,31,4.59046
1,1,100000000,10000,1,11.6661
1,1,100000000,10000,3,7.49465
1,1,100000000,10000,7,5.01489
1,1,100000000,10000,15,3.91802
1,1,100000000,10000,31,3.75325
1,1,100000000,25000,1,11.7971
1,1,100000000,25000,3,7.05291
1,1,100000000,25000,7,4.79868
1,1,100000000,25000,15,3.52418
1,1,100000000,25000,31,3.44882
1,1,100000000,100000,1,11.1208
1,1,100000000,100000,3,6.60197
1,1,100000000,100000,7,4.57173
1,1,100000000,100000,15,3.39309
1,1,100000000,100000,31,3.57764
